"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"12","female","Dallas, TX","7","2","0","0","0","277","955441"
"20","male","Chicago, IL","0","2","0","0","0","933","145665"
"80","male","London","2","2","0","0","0","1898","861452"
"72","female","Chicago, IL","2","2","0","0","0","443","607450"
"37","female","Chicago, IL","0","2","0","0","0","56","229968"
"106","male","Corona, CA","7","2","0","0","0","2349","521463"
"71","female","New York, NY","7","3","0","0","0","1998","287157"
"52","male","San Diego, CA","1","2","0","0","0","982","910166"
"131","male","Chicago, IL","1","4","0","0","0","5597","278502"
"121","female","Chicago, IL","4","2","0","0","0","1399","495486"
"38","female","Illinois","1","2","0","0","0","1346","296942"
"34","female","Chicago, IL","0","2","0","0","0","1040","259307"
"21","male","North Hollywood, California","0","2","0","0","0","1063","615566"
"47","male","Chicago, IL","19","4","0","0","0","2931","917986"
"105","female","Chicago, IL","79","8","0","0","0","4246","637047"
"43","female","São Paulo, Brasil","3","2","0","0","0","1040","688282"
"147","female","Chicago, IL","0","2","0","0","0","2441","563721"
"247","male","Chicago, IL","4","2","0","0","0","2206","494071"
"36","male","Seven Hills, OH","0","4","0","0","0","576","602612"
"9","female","Chicago, IL","0","2","0","0","0","735","826560"
"56","female","Chicago, IL","3","2","0","0","0","1447","674538"
"99","male","Chicago, Illinois","32","12","0","0","0","5006","290785"
"72","female","Chicago, IL","0","2","0","0","0","745","346492"
"58","male","South Bend, IN","4","2","0","0","0","2706","665837"
"360","male","Washington, DC","2","2","0","0","0","1645","595685"
"184","male","Chicago, IL","18","2","0","0","0","2902","915026"
"105","female","Alpharetta, GA","44","4","0","0","0","3445","462235"
"39","female","Chicago, IL","0","2","0","0","0","895","705752"
"17","male","Región Metropolitana de Santiago","37","3","0","0","0","441","328598"
"10","female","Aliso Viejo, CA","7","3","0","0","0","381","274781"
"883","male","Chicago, Illinois","6","3","0","0","0","462","627229"
"16","male","New Lenox, IL","5","2","0","0","0","1039","468285"
"46","male","Chicago, IL","5","4","0","0","0","338","747160"
"34","male"," Chicago, Il","4","2","0","0","0","1502","599585"
"21","male","None","3","3","0","0","0","772","640156"
"21","male","Chicago, IL","0","2","0","0","0","197","380848"
"104","male","Spring, TX","12","3","0","0","0","6263","270512"
"28","female","Chicago, IL","140","4","0","0","0","740","561094"
"36","female","Chicago, USA","29","29","0","0","0","4460","567803"
"26","male","Tacoma, WA","5","2","0","0","0","892","763804"
"27","male","Chicago. IL","4","2","0","0","0","171","523161"
"101","male","Chicago,IL ","11","2","0","0","0","5226","679261"
"10","female","Springfield, IL","38","3","0","0","0","1124","697291"
"4","female","Rio de Janeiro","6","2","0","0","0","166","658244"
"95","female","Chicago, IL","45","5","0","0","0","873","223924"
"37","male","Chicago, IL","5","2","0","0","0","2019","387229"
"88","female","Chicago, IL","10","2","0","0","0","1610","188698"
"53","female","Chicago, IL","1","3","0","0","0","2984","499086"
"44","male","Chicago","0","2","0","0","0","428","628200"
"257","male","Chicago, IL","2","3","0","0","0","6348","821494"
"30","male","Chicago, IL","22","29","0","0","0","3843","196980"
"77","male","Manheim, PA","9","4","0","0","0","2344","649183"
"30","female","Chicago, IL","12","5","0","0","0","3721","788085"
"142","male","Álvaro Obregón, Distrito Federal","13","5","0","0","0","3526","898921"
"76","male","Chicago, IL","2","3","0","0","0","3373","737037"
"20","male","Chicago, IL","2","2","0","0","0","1291","962869"
"80","female","Chicago, Illinois","61","23","0","0","0","3757","168474"
"14","male","東京","0","2","0","0","0","181","143997"
"61","male","Chicago, IL","21","6","0","0","0","1855","175784"
"9","male","Marseilles Heights, IL","0","3","0","0","0","75","435560"
"41","male","Valley Stream, NY","37","2","0","0","0","8206","957965"
"19","female","Park Ridge, IL","9","2","0","0","0","2348","374684"
"85","female","Norridge, Illinois","33","9","0","0","0","7093","885612"
"133","male","İstanbul, Türkiye","8","3","0","0","0","85","708219"
"28","female","Chicago","98","10","0","0","0","9738","386626"
"793","female","Chicago, IL","72","8","0","0","0","606","740956"
"195","female","Bangkok Metropolis","0","2","0","0","0","2289","709722"
"31","male","Chicago, IL","4","2","0","0","0","1257","180323"
"80","male","Chicago, IL","1","2","0","0","0","3661","746635"
"130","male","chicago,  il","2","3","0","0","0","1545","965536"
"149","male","Chicago, IL","3","2","0","0","0","650","509576"
"269","male","Sobral, CE","15","3","0","0","0","165","657185"
"38","male","Chicago, IL","3","7","0","0","0","1445","833878"
"13","male","Chicago, IL","7","2","0","0","0","599","866361"
"40","None","The Bay ","2","2","0","0","0","403","912308"
"323","female","Chicago, IL","44","6","0","0","0","5301","569348"
"130","female","New York, NY","33","32","0","0","0","3762","321852"
"29","female","Chicago, IL","1","2","0","0","0","182","499815"
"75","male","Chicago, IL","23","2","0","0","0","3736","586234"
"67","None","Marathon, FL","0","2","0","0","0","849","511049"
"70","female","Chicago, IL","9","2","0","0","0","1687","519788"
"1001","female","Chicago, IL","71","6","0","0","0","2966","575364"
"51","female","Madison, WI","5","3","0","0","0","1096","875243"
"63","female","North, Indiana","0","2","0","0","0","1840","427462"
"25","female","Chicago, IL","0","2","0","0","0","1242","226548"
"30","male","Chicago, IL","3","3","0","0","0","1455","796212"
"121","female","Chicago, IL","6","2","0","0","0","1325","592267"
"20","male","Blacksburg, VA","0","2","0","0","0","436","110750"
"205","male","Los Angeles, CA","33","11","0","0","0","10988","421714"
"2","male","Lake Forest, Illinois","0","2","0","0","0","41","442018"
"55","female","Chicago, IL","8","2","0","0","0","2191","856603"
"178","female","Chicago, IL","4","5","0","0","0","1548","761649"
"4","male","Chicago, IL","0","3","0","0","0","576","467910"
"55","female","Chicago, IL","3","2","0","0","0","2699","662868"
"29","female","Chicago, IL","2","3","0","0","0","5532","540553"
"732","male","Philadelphia, PA","18","5","0","0","0","1094","220991"
"809","female","Chicago, IL","13","3","0","0","0","2554","950441"
"102","male","Chicago, IL","6","2","0","0","0","986","258663"
"83","female","Chicago, Illinois","89","33","0","0","0","3293","553129"
"59","male","Chicago, IL & Los Angeles, CA","8","3","0","0","0","437","578873"
"139","female","Chicago, IL","20","8","0","0","0","270","715897"
"25","male","River Grove, IL","10","2","0","0","0","3055","198051"
"95","female","River Forest, IL","5","2","0","0","0","3012","853808"
"126","female","Chicago, IL","2","2","0","0","0","603","629581"
"144","female","Chicago, IL","3","5","0","0","0","1863","471334"
"140","male","Chicago, IL","4","4","0","0","0","1107","345941"
"112","male","Chicago, IL","14","3","0","0","0","4215","338956"
"105","male","Chicago, IL","12","2","0","0","0","675","156780"
"74","female","Chicago, IL","9","8","0","0","0","5363","568516"
"16","male","Chicago, IL","13","2","0","0","0","999","154008"
"117","female","Chicago, IL ","1","2","0","0","0","2246","377517"
"150","female","Chicago, IL","0","6","0","0","0","488","923630"
"97","female","Milwaukee, Wisconsin","11","2","0","0","0","5219","525710"
"308","male","New York, NY","16","4","0","0","0","18852","492530"
"6","male","Westchester, IL","6","2","0","0","0","389","744810"
"66","male","Greater Chicago Area","10","2","0","0","0","5786","853171"
"14","male","Chicago, IL","0","2","0","0","0","618","582727"
"130","male","Chicago, IL","5","3","0","0","0","1344","270697"
"70","male","Chicago, IL","10","2","0","0","0","14488","236985"
"288","male","Chicago, IL","2","2","0","0","0","2446","142979"
"69","male","Khobar/Michigan ","2","2","0","0","0","461","917523"
"218","male","Montreal, Qc","26","9","0","0","0","10730","497958"
"56","male","mount prospect, il","4","2","0","0","0","1530","940842"
"63","male","North Liberty, Iowa","1","2","0","0","0","100","817241"
"24","male","Massachusetts","2","2","0","0","0","612","513698"
"59","male","Natal, Brasil","80","2","0","0","0","7466","802087"
"27","male","IL","8","2","0","0","0","1834","287462"
"92","male","Chicago, IL","2","4","0","0","0","801","126249"
"57","female","Chicago, IL","5","2","0","0","0","393","651410"
"32","male","Merrillville, IN","2","2","0","0","0","1613","757723"
"49","female","Chicago","52","3","0","0","0","2827","483486"
"58","male","Fortaleza, CE","10","2","0","0","0","308","285475"
"18","female","South Saint Paul, MN","21","3","0","0","0","4715","774085"
"265","male","Chicago, IL","16","7","0","0","0","1411","846035"
"145","male","Chicago, IL","10","2","0","0","0","1541","705727"
"546","male","Chicago, IL","30","4","0","0","0","5153","657178"
"46","male","Chicago, IL","1","2","0","0","0","130","750760"
"33","male","Chicago, IL","3","3","0","0","0","1278","876154"
"117","male","paris, france","9","18","0","0","0","3279","999633"
"77","female","Chicago, IL","2","2","0","0","0","1157","829129"
"58","male","Chicago","3","3","0","0","0","2265","813090"
"88","male","Brooklyn, NY","1","5","0","0","0","121","452402"
"59","female","Chicago, IL","49","3","0","0","0","1304","878597"
"130","female","Chicago, IL","7","2","0","0","0","1243","376164"
"32","female","Chicago, Illinois","3","4","0","0","0","587","177727"
"20","male","Chicago, IL","0","3","0","0","0","951","139018"
"19","female","Chicago, IL","1","2","0","0","0","379","427740"
"54","male","East Lansing, MI","2","2","0","0","0","120","170539"
"21","male","Carbondale, IL","1","2","0","0","0","302","208108"
"40","male","Chicago, IL","6","2","0","0","0","2040","948925"
"124","male","Chicago, IL","3","2","0","0","0","3724","816019"
"96","female","Chicago, IL","6","2","0","0","0","1221","845325"
"101","female","Chicago, IL","2","2","0","0","0","1173","712702"
"67","female","Syracuse, NY","6","2","0","0","0","1190","397766"
"214","male","Chicago, IL","169","2","0","0","0","1546","899938"
"676","female","Milwaukee, WI","79","8","0","0","0","6279","601000"
"25","female","Illinois","1","2","0","0","0","943","698865"
"32","female","New York, NY","0","2","0","0","0","2888","443271"
"48","female","Chicago, IL","25","23","0","0","0","5204","448241"
"69","female","Blue Island, IL","2","2","0","0","0","1013","204820"
"0","male","Chicago, IL","0","2","0","0","0","111","553162"
"16","male","Chicago, IL","1","2","0","0","0","2299","654761"
"32","male","Hometown, IL","3","2","0","0","0","3135","703112"
"41","male","Boulder","38","4","0","0","0","727","207285"
"151","male","Chicago, IL","19","4","0","0","0","2298","723716"
"73","male","Chicago, IL","12","3","0","0","0","1703","548234"
"23","male","Chicago, IL","13","3","0","0","0","2564","485599"
"16","female","Winfield, IL","0","2","0","0","0","387","369852"
"64","female","La Grange Park, IL","30","4","0","0","0","1540","178388"
"97","male","San Francisco, California","143","2","0","0","0","2713","813061"
"210","male","Schaumburg, IL","21","2","0","0","0","2875","139059"
"186","female","NY","92","22","0","0","0","2026","849246"
"90","male","Chicago, IL","1","5","0","0","0","5401","376650"
"297","female","Chicago, IL","8","3","0","0","0","3097","982031"
"39","male","Torrance, CA","1","2","0","0","0","1940","827172"
"112","male","Chicago, IL","80","2","0","0","0","2039","488993"
"55","female","Chicago, IL","36","8","0","0","0","4855","841498"
"52","male","Chicago, IL","13","17","0","0","0","456","622135"
"41","male","Illinois","1","2","0","0","0","361","912351"
