"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"56","female","Moscow","28","4","0","0","0","7347","874556"
"11","female","Moskva","0","2","0","0","0","358","487813"
"67","male","Khabarovsk","3","3","0","0","0","1320","204228"
"5","male","Moskva","90","3","0","0","0","758","606046"
"79","female","город Москва, Россия","62","16","0","0","0","4234","877801"
"77","female","Moskva","3","2","0","0","0","1321","730648"
"25","male","ЦАО Таганка ","2","2","0","0","0","1177","925649"
"17","female","None","0","3","0","0","0","455","995492"
"21","None","Moskovsskaya","1","2","0","0","0","239","863546"
"55","male","Россия, Москва","1","2","0","0","0","1548","475566"
"13","male","Moscow","10","2","0","0","0","2532","817180"
"29","male","Moskva","7","2","0","0","0","748","947914"
"3","female","Moscow, 48","0","2","0","0","0","27","818169"
"14","male","Moskva","4","3","0","0","0","319","549705"
"89","male","Saint-Petersburg, Saint-Petersburg","1","2","0","0","0","566","352289"
"40","female","Moskovsskaya","1","2","0","0","0","720","519462"
"36","female","Moskovsskaya","3","2","0","0","0","1683","413883"
"60","male","57 RUS / 77 RUS / 150 RUS","0","2","0","0","0","1520","663564"
"32","female","Moscow, Moscow","33","2","0","0","0","1037","666532"
"8","male","Moskovsskaya","3","2","0","0","0","630","322919"
"3","male","Moskva","0","2","0","0","0","15","542269"
"59","female","Rostov","2","2","0","0","0","3872","742832"
"60","male","город Москва, Россия","1","2","0","0","0","1679","540712"
"59","female","город Москва, Россия","2","5","0","0","0","1258","311607"
"81","male","Москва , Россия","5","2","0","0","0","2197","308920"
"106","male","Moskva","4","2","0","0","0","1062","902118"
"30","male","Kharkiv, 07","1","3","0","0","0","639","792810"
"32","male","Perm'","0","2","0","0","0","431","799998"
"1","female","Москва","0","2","0","0","0","869","120850"
"31","female","Moskva","3","5","0","0","0","382","803286"
"46","female","город Москва, Россия","5","2","0","0","0","2319","525454"
"153","male","Moscow","13","2","0","0","0","2530","993236"
"51","male","Moscow, Russia","36","2","0","0","0","6608","143438"
"50","female","Moscow","3","2","0","0","0","1855","731513"
"46","female","Moskva","0","2","0","0","0","1503","113352"
"23","female","Moscow","0","2","0","0","0","1170","591676"
"275","male","город Москва, Россия","1","6","0","0","0","893","769748"
"19","female","Moscow, 48","2","2","0","0","0","444","779952"
