"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"51","female","Brooklyn, NY","9","3","0","0","0","1681","277713"
"155","male","Perth Amboy, NJ","19","5","0","0","0","4363","253216"
"5","female","Brooklyn, NY","47","40","0","0","0","1292","305460"
"33","female","New York, NY","0","2","0","0","0","229","794515"
"38","female","New York, NY","16","2","0","0","0","887","385218"
"54","male","New York, NY","12","2","0","0","0","3272","369531"
"206","female","Belém/Pa","8","2","0","0","0","987","257399"
"67","female","New York, New York","26","21","0","0","0","2286","738565"
"105","female","Union, NJ","3","2","0","0","0","4462","691663"
"27","male","NY","0","4","0","0","0","1806","863752"
"72","male","Fair Lawn, NJ","0","2","0","0","0","807","335795"
"111","female","New York, NY","3","23","0","0","0","3838","146244"
"37","male","New York, NY","0","2","0","0","0","603","846052"
"35","female","New York","3","3","0","0","0","478","618105"
"54","female","Charlotte, NC","6","2","0","0","0","463","689965"
"202","female","Thailand","2","2","0","0","0","229","880786"
"29","female","New York, NY","1","2","0","0","0","320","747574"
"95","male"," Brooklyn, NY","1","2","0","0","0","252","443177"
"225","female","Brooklyn, NY","17","6","0","0","0","5130","125075"
"52","male","New York","13","4","0","0","0","1712","932119"
"114","male","Woodstock, NY","8","2","0","0","0","1140","344304"
"159","female","ישראל","8","2","0","0","0","1541","858822"
"96","female","10005","12","2","0","0","0","8481","843745"
"439","female","Tallahassee, FL","40","5","0","0","0","15593","882184"
"95","female","New York, NY","9","4","0","0","0","2804","549122"
"236","male","México","4","5","0","0","0","369","785852"
"212","male","New York, NY","4","2","0","0","0","6754","959942"
"411","male","Brooklyn, NY","254","83","0","0","0","13307","879204"
"32","male","New York, NY","0","2","0","0","0","270","843747"
"772","male","New York, NY","44","5","0","0","0","4286","162053"
"30","female","Seattle, WA","24","13","0","0","0","637","245251"
"322","female","New York, NY","9","2","0","0","0","1669","731826"
"110","male","New York, NY","51","13","0","0","0","13636","580045"
"110","female","New York, NY","120","19","0","0","0","1874","268830"
"110","male","New York, NY","7","2","0","0","0","826","187603"
"79","female","New York, NY","3","2","0","0","0","817","944688"
"48","male","New York, NY","0","3","0","0","0","1713","780875"
"189","male","Bronx, NY","18","4","0","0","0","718","658552"
"77","male","New York, NY","11","3","0","0","0","1998","217229"
"2","male","Williamsburg, BKLYN","4","2","0","0","0","857","474209"
"31","female","New York, NY","0","4","0","0","0","780","431736"
"117","female","Washington, DC","4","2","0","0","0","174","776913"
"90","male","Woodridge, IL","2","2","0","0","0","1184","680774"
"38","female","Brooklyn, New York","1","2","0","0","0","212","621568"
"96","male","New York, NY","3","2","0","0","0","865","932424"
"92","female","Jerusalem, Israel","10","3","0","0","0","2074","333904"
"26","female","Bogotá, Colombia","1","2","0","0","0","401","928339"
"18","female","New York, NY","0","2","0","0","0","709","640569"
"168","male","México","40","8","0","0","0","3231","809266"
"45","female","New City, NY","1","3","0","0","0","1231","512880"
"166","male","Washington D.C., DC","1","12","0","0","0","8866","434831"
"24","male","New York, NY","2","2","0","0","0","289","381901"
"36","female","None","0","2","0","0","0","63","285931"
"98","male","São Paulo, Brasil","5","31","0","0","0","3029","192779"
"133","female","Pão de Açúcar, Alagoas","2","2","0","0","0","278","279303"
"73","male","Jersey City, NJ","10","2","0","0","0","742","341564"
"32","female","Flanders, NJ ","1","2","0","0","0","265","858545"
"26","male","New York, NY","16","2","0","0","0","2382","668655"
"33","female","Toronto Division, ON","5","2","0","0","0","2565","678770"
"113","male","New York ","1","8","0","0","0","2109","692423"
"28","male","None","18","14","0","0","0","375","557926"
"246","male","Brooklyn, NY","22","2","0","0","0","2429","614422"
"14","None","New York","11","2","0","0","0","558","704352"
"19","male","Ciudad de México, Mexico","40","3","0","0","0","1552","104065"
"155","male","Asunción","0","2","0","0","0","3188","853816"
"322","male","Jelgava, Latvija","6","2","0","0","0","623","974206"
"58","female","Queens & Buffalo","0","2","0","0","0","689","307028"
"461","male","New York, NY","18","2","0","0","0","323","293433"
"29","female","Queens, New York","0","2","0","0","0","215","284138"
"49","male","Bronx ,NY","41","2","0","0","0","2243","633599"
